index,compression_type,byte_length,compression_ratio,compression_duration,transmission_duration,average_compression_duration,average_transmission_duration,average_both
1,0,136112,1,0,40016,0,40016,40016
2,0,136232,1,1,71,0,20043,20044
3,0,801064,1,1,112646,0,50911,50911
4,0,753288,1,1,116157,0,67222,67223
5,0,772784,1,0,98248,0,73427,73428
6,0,781128,1,1,53038,0,70029,70030
7,0,762136,1,1,118069,0,76892,76892
8,0,783200,1,1,70497,0,76092,76093
9,0,779192,1,2,95507,0,78249,78250
10,0,758296,1,1,60719,0,76496,76497
11,0,783512,1,1,94495,0,78133,78133
12,0,788024,1,1,91676,0,79261,79262
13,0,764872,1,2,103930,1,81159,81160
14,0,790104,1,1,379,1,75389,75390
15,0,791064,1,0,113225,0,77911,77912
16,0,760088,1,1,123336,0,80750,80751
17,0,807024,1,1,156887,0,85229,85230
18,0,832544,1,3,556,1,80525,80526
19,0,788032,1,1,143292,1,83828,83829
20,0,752936,1,1,523,1,79663,79664
21,0,771856,1,1,151682,1,83092,83093
22,0,768888,1,1,339,1,79331,79332
23,0,740184,1,0,210427,1,85031,85032
24,0,794680,1,1,386,1,81504,81505
25,0,583360,1,1,301,1,78256,78257
26,0,474672,1,0,211064,0,83364,83365
27,0,514064,1,1,245,0,80285,80286
28,0,496256,1,1,332,0,77430,77431
29,0,531624,1,2,205929,1,81861,81862
30,0,516384,1,2,404,1,79145,79146
31,0,541800,1,1,418,1,76606,76607
32,0,497160,1,1,207797,1,80705,80707
33,0,527072,1,1,453,1,78274,78275
34,0,514376,1,0,383,1,75983,75984
35,0,521008,1,0,214837,0,79950,79951
36,0,493232,1,1,340,0,77739,77739
37,0,520064,1,2,485,1,75651,75652
38,0,492944,1,0,201648,0,78966,78967
39,0,511496,1,1,374,0,76951,76952
40,0,492736,1,1,420,0,75038,75039
41,0,523152,1,1,207275,0,78263,78264
42,0,491192,1,0,243,0,76405,76406
43,0,523680,1,1,428,0,74639,74639
44,0,507384,1,1,198661,0,77457,77458
45,0,524760,1,0,297,0,75743,75743
46,0,497336,1,2,584,0,74109,74110
47,0,514384,1,2,198975,0,76765,76766
48,0,510528,1,1,352,0,75173,75174
49,0,521032,1,2,419,1,73648,73649
50,0,611632,1,1,193887,1,76053,76054
51,0,524592,1,1,255,1,74566,74567
52,0,515056,1,1,235,1,73137,73138
53,0,481496,1,2,193167,1,75402,75403
54,0,486464,1,0,586,1,74016,74017
55,0,502352,1,2,300,1,72676,72677
56,0,472656,1,2,200171,1,74952,74954
57,0,495968,1,1,285,1,73643,73644
58,0,462336,1,1,386,1,72379,72380
59,0,450056,1,0,202687,1,74588,74589
60,0,407456,1,0,227,1,73349,73350
61,0,469304,1,1,296,1,72151,72152
62,0,860648,1,2,211047,1,74391,74392
63,0,819232,1,1,590,1,73220,73221
64,0,788016,1,1,186682,1,74993,74994
65,0,807608,1,2,966,1,73854,73855
66,0,816824,1,1,212419,1,75953,75954
67,0,794624,1,0,397,1,74826,74827
68,0,798456,1,1,213001,1,76858,76859
69,0,790016,1,1,407,1,75750,75751
70,0,767040,1,1,213542,1,77718,77719
71,0,782960,1,1,390,1,76629,76630
72,0,778864,1,3,213069,1,78524,78525
73,0,762848,1,0,462,1,77455,77456
74,0,779232,1,1,233852,1,79568,79569
75,0,782072,1,0,448,1,78513,78514
76,0,771136,1,0,211808,1,80267,80268
77,0,783616,1,1,502,1,79231,79232
78,0,787920,1,1,213432,1,80952,80953
79,0,781888,1,0,510,0,79933,79934
80,0,796848,1,3,204115,1,81486,81487
81,0,803328,1,1,194481,1,82881,82882
82,0,793768,1,0,1416,1,81887,81888
83,0,812480,1,1,173209,1,82987,82988
84,0,816744,1,0,161524,0,83922,83923
85,0,806328,1,1,173646,0,84978,84979
86,0,817968,1,1,2285,0,84016,84017
87,0,821792,1,0,192643,0,85265,85266
88,0,800728,1,1,2485,0,84324,84325
89,0,804600,1,0,187220,0,85480,85481
90,0,787016,1,0,2299,0,84556,84557
91,0,796624,1,1,213292,0,85971,85972
92,0,794120,1,0,2510,0,85064,85065
93,0,773984,1,1,232392,0,86648,86649
94,0,788072,1,0,2887,0,85757,85758
95,0,800656,1,1,245610,0,87439,87440
96,0,786672,1,1,2370,0,86553,86554
97,0,813752,1,1,3507,0,85697,85698
98,0,818240,1,1,240485,0,87277,87277
99,0,798872,1,1,3113,0,86426,86427
100,0,811520,1,0,256316,0,88125,88126
101,0,802584,1,1,4113,0,87293,87294
102,0,785368,1,0,275330,0,89137,89138
103,0,838280,1,1,486,0,88276,88277
104,0,813056,1,2,176465,0,89124,89125
105,0,758192,1,2,430,0,88280,88280
106,0,772024,1,1,109690,0,88481,88482
107,0,762400,1,1,443,0,87659,87660
