index,compression_type,byte_length,compression_ratio,compression_duration,transmission_duration,average_compression_duration,average_transmission_duration,average_both
1,None,272216,1,4,113,4,113,117
2,None,272456,1,4,79,4,96,100
3,None,1.60213e+06,1,4,3448,4,1213,1217
4,None,1.50658e+06,1,4,1845,4,1371,1375
5,None,1.54557e+06,1,4,3313,4,1759,1763
6,None,1.56226e+06,1,4,3267,4,2010,2014
7,None,1.52426e+06,1,4,3254,4,2188,2192
8,None,1.56639e+06,1,4,3360,4,2334,2338
9,None,1.55838e+06,1,4,3315,4,2443,2447
10,None,1.51658e+06,1,4,3189,4,2518,2522
11,None,1.56702e+06,1,4,3331,4,2592,2596
12,None,1.57605e+06,1,4,5026,4,2795,2799
13,None,1.52974e+06,1,4,3335,4,2836,2840
14,None,1.58021e+06,1,4,4852,4,2980,2984
15,None,1.58212e+06,1,4,4934,4,3110,3114
16,None,1.52018e+06,1,4,3501,4,3135,3139
17,None,1.61405e+06,1,4,4967,4,3242,3246
18,None,1.66508e+06,1,4,5497,4,3368,3372
19,None,1.57606e+06,1,2,4830,3,3445,3448
20,None,1.50586e+06,1,4,3187,3,3432,3436
21,None,1.54371e+06,1,5,3274,3,3424,3428
22,None,1.53777e+06,1,2,3231,3,3415,3419
23,None,1.48036e+06,1,4,3252,3,3408,3412
24,None,1.58936e+06,1,2,4969,3,3473,3477
25,None,1.16671e+06,1,2,1525,3,3395,3399
26,None,949344,1,4,1825,3,3335,3339
27,None,1.02813e+06,1,1,1999,3,3285,3289
28,None,992504,1,2,1839,3,3234,3237
29,None,1.06324e+06,1,1,1404,3,3171,3174
30,None,1.03277e+06,1,4,1946,3,3130,3133
31,None,1.0836e+06,1,2,1435,3,3075,3079
32,None,994312,1,4,1943,3,3040,3043
33,None,1.05414e+06,1,2,1314,3,2987,2991
34,None,1.02875e+06,1,2,2189,3,2964,2967
35,None,1.04202e+06,1,1,1959,3,2935,2938
36,None,986456,1,4,1834,3,2905,2908
37,None,1.04013e+06,1,2,2024,3,2881,2884
38,None,985888,1,4,1828,3,2853,2856
39,None,1.02299e+06,1,4,1929,3,2829,2833
40,None,985464,1,4,1828,3,2804,2808
41,None,1.0463e+06,1,2,1969,3,2784,2787
42,None,982376,1,4,1959,3,2764,2768
43,None,1.04735e+06,1,4,2059,3,2748,2751
44,None,1.01476e+06,1,2,1932,3,2729,2733
45,None,1.04952e+06,1,2,1349,3,2699,2702
46,None,994664,1,1,1851,3,2680,2683
47,None,1.02877e+06,1,4,1929,3,2664,2667
48,None,1.02105e+06,1,1,1991,3,2650,2653
49,None,1.04206e+06,1,4,2028,3,2637,2641
50,None,1.22326e+06,1,4,1471,3,2614,2617
51,None,1.04918e+06,1,2,1368,3,2590,2593
52,None,1.03011e+06,1,4,2133,3,2581,2584
53,None,962984,1,4,2074,3,2571,2575
54,None,972920,1,4,1928,3,2559,2563
55,None,1.0047e+06,1,4,1877,3,2547,2550
56,None,945304,1,4,1867,3,2535,2538
57,None,991928,1,2,1983,3,2525,2528
58,None,924664,1,4,1832,3,2513,2516
59,None,900104,1,2,1709,3,2499,2503
60,None,814912,1,4,1586,3,2484,2488
61,None,938608,1,4,2201,3,2480,2483
62,None,1.7213e+06,1,2,5804,3,2533,2536
63,None,1.63846e+06,1,4,5198,3,2576,2579
64,None,1.57603e+06,1,4,5725,3,2625,2628
65,None,1.61522e+06,1,4,5299,3,2666,2669
66,None,1.63365e+06,1,4,5209,3,2704,2708
67,None,1.58924e+06,1,4,5098,3,2740,2743
68,None,1.59691e+06,1,4,5866,3,2786,2789
69,None,1.58002e+06,1,4,4980,3,2818,2821
70,None,1.53407e+06,1,4,3580,3,2829,2832
71,None,1.56592e+06,1,10,3454,3,2838,2841
72,None,1.55772e+06,1,4,3262,3,2843,2847
73,None,1.52569e+06,1,2,3521,3,2853,2856
74,None,1.55846e+06,1,4,3461,3,2861,2864
75,None,1.56414e+06,1,4,3989,3,2876,2879
76,None,1.54226e+06,1,4,3470,3,2884,2887
77,None,1.56723e+06,1,2,3279,3,2889,2892
78,None,1.57583e+06,1,4,5075,3,2917,2920
79,None,1.56378e+06,1,4,3309,3,2922,2925
80,None,1.5937e+06,1,4,5173,3,2950,2953
81,None,1.60665e+06,1,5,5081,3,2976,2980
82,None,1.58753e+06,1,4,4870,3,2999,3003
83,None,1.62495e+06,1,4,5035,3,3024,3027
84,None,1.63348e+06,1,2,5093,3,3049,3052
85,None,1.61265e+06,1,4,4950,3,3071,3074
86,None,1.63593e+06,1,4,5012,3,3093,3097
87,None,1.64358e+06,1,4,5148,3,3117,3121
88,None,1.60145e+06,1,4,5190,3,3141,3144
89,None,1.60919e+06,1,4,4880,3,3160,3164
90,None,1.57403e+06,1,4,4938,3,3180,3183
91,None,1.59324e+06,1,2,4914,3,3199,3202
92,None,1.58823e+06,1,5,4905,3,3217,3221
93,None,1.54796e+06,1,4,3332,3,3219,3222
94,None,1.57614e+06,1,4,5272,3,3241,3244
95,None,1.60131e+06,1,4,4999,3,3259,3263
96,None,1.57334e+06,1,2,4837,3,3275,3279
97,None,1.6275e+06,1,2,5097,3,3294,3298
98,None,1.63648e+06,1,4,5078,3,3312,3316
99,None,1.59774e+06,1,4,5155,3,3331,3335
100,None,1.62303e+06,1,4,5122,3,3349,3352
101,None,1.60516e+06,1,4,4996,3,3365,3369
102,None,1.57073e+06,1,4,3341,3,3365,3369
103,None,1.67655e+06,1,4,5212,3,3383,3386
104,None,1.6261e+06,1,2,5086,3,3399,3403
105,None,1.51638e+06,1,1,3195,3,3397,3401
106,None,1.54404e+06,1,2,3270,3,3396,3400
107,None,1.5248e+06,1,4,4918,3,3410,3414
108,None,1.46178e+06,1,4,1900,3,3396,3400
109,None,1.51157e+06,1,2,3266,3,3395,3399
110,None,1.52407e+06,1,4,3196,3,3393,3397
111,None,1.4749e+06,1,2,3126,3,3391,3394
112,None,1.55229e+06,1,2,3265,3,3390,3393
113,None,1.55886e+06,1,4,3316,3,3389,3393
114,None,1.5121e+06,1,4,3345,3,3389,3392
115,None,1.55222e+06,1,4,3295,3,3388,3391
116,None,1.5559e+06,1,4,3374,3,3388,3391
117,None,1.49162e+06,1,4,3158,3,3386,3389
118,None,1.54458e+06,1,4,3251,3,3385,3388
119,None,1.53486e+06,1,4,3196,3,3383,3387
120,None,1.48831e+06,1,4,3130,3,3381,3384
121,None,1.54087e+06,1,4,4440,3,3390,3393
