index,compression_type,byte_length,compression_ratio,compression_duration,transmission_duration,average_compression_duration,average_transmission_duration,average_both
1,None,272216,1,4,119,4,119,123
2,None,272456,1,2,81,3,100,103
3,None,1.60213e+06,1,4,3508,3,1236,1239
4,None,1.50658e+06,1,4,1896,3,1401,1404
5,None,1.54557e+06,1,4,3406,3,1802,1805
6,None,1.56226e+06,1,2,3326,3,2056,2059
7,None,1.52426e+06,1,4,3251,3,2226,2230
8,None,1.56639e+06,1,2,3618,3,2400,2403
9,None,1.55838e+06,1,4,3391,3,2510,2514
10,None,1.51658e+06,1,2,3280,3,2587,2590
11,Block Floating Point,391754,0.25,5403,299,494,2379,2873
12,Block Floating Point,394012,0.25,5558,297,916,2206,3122
13,Block Floating Point,382436,0.25,5532,300,1271,2059,3330
14,Block Floating Point,395052,0.25,5608,299,1580,1933,3514
15,Block Floating Point,395530,0.25,6369,293,1900,1824,3724
16,Block Floating Point,380044,0.25,5362,286,2116,1728,3844
17,Block Floating Point,403512,0.25,5761,304,2330,1644,3975
18,Block Floating Point,416270,0.25,6015,308,2535,1570,4105
19,Block Floating Point,394014,0.25,5561,302,2694,1503,4198
20,Block Floating Point,376466,0.25,5375,293,2828,1442,4271
21,Block Floating Point,385928,0.25,5705,290,2965,1387,4353
22,Block Floating Point,384442,0.25,5807,291,3094,1338,4433
23,Block Floating Point,370090,0.25,5208,291,3186,1292,4479
24,Block Floating Point,397340,0.25,5644,297,3289,1251,4540
25,Block Floating Point,291678,0.25,4460,256,3336,1211,4547
26,Block Floating Point,237336,0.25,3352,126,3336,1169,4506
27,Block Floating Point,257032,0.25,3597,122,3346,1130,4477
28,Block Floating Point,248126,0.25,3542,131,3353,1095,4448
29,Block Floating Point,265810,0.25,3718,178,3365,1063,4429
30,Block Floating Point,258192,0.25,3590,121,3373,1032,4405
31,Block Floating Point,270900,0.25,3945,180,3391,1004,4396
32,Block Floating Point,248578,0.25,3446,119,3393,976,4370
33,Block Floating Point,263536,0.25,3666,172,3401,952,4354
34,Block Floating Point,257188,0.25,3532,122,3405,928,4333
35,Block Floating Point,260504,0.25,3620,129,3411,905,4316
