index,compression_type,byte_length,compression_ratio,compression_duration,transmission_duration,average_compression_duration,average_transmission_duration,average_both
1,0,136112,1,0,39763,0,39763,39763
2,2,119602,0.877929,163,100,81,19931,20013
3,2,788380,0.984166,1194,91470,452,43777,44230
4,2,741708,0.984627,1386,80516,685,52962,53648
5,2,760704,0.984368,2315,76551,1011,57680,58691
6,2,769192,0.98472,2555,110363,1268,66460,67729
7,2,750950,0.985323,2067,48383,1382,63878,65260
8,2,772282,0.98606,1940,69352,1452,64562,66014
9,2,767712,0.985267,1109,62054,1414,64283,65697
10,2,746506,0.984452,1031,87592,1376,66614,67990
11,2,771682,0.984901,1045,83136,1345,68116,69462
12,2,775964,0.984696,1067,93264,1322,70212,71534
13,2,753748,0.985456,1192,101792,1312,72641,73953
14,2,778100,0.984807,1350,114058,1315,75599,76914
15,2,778918,0.984646,1485,562,1326,70597,71923
16,2,748084,0.984207,1242,115571,1321,73407,74729
17,2,794764,0.984808,1800,128361,1349,76640,77989
18,2,822062,0.98741,2198,826,1396,72428,73825
19,2,777146,0.986186,1528,133285,1403,75631,77035
20,2,741086,0.984262,1011,573,1383,71878,73262
21,2,760472,0.985251,1119,149997,1371,75598,76969
22,2,758166,0.986055,1506,501,1377,72185,73562
23,2,729154,0.985098,1715,175411,1392,76673,78065
24,2,783908,0.986445,1067,404,1378,73495,74873
25,2,571022,0.97885,877,220404,1358,79371,80730
26,2,462148,0.973615,682,295,1332,76330,77662
27,2,503160,0.978789,600,266,1305,73512,74818
28,2,485246,0.977814,543,204881,1278,78204,79482
29,2,519906,0.977958,544,267,1252,75517,76769
30,2,505236,0.978411,620,478,1231,73015,74247
31,2,531544,0.981071,825,200973,1218,77143,78362
32,2,485326,0.976197,731,218,1203,74739,75942
33,2,516320,0.9796,836,342,1192,72485,73677
34,2,503588,0.979027,504,222853,1171,76907,78079
35,2,510900,0.980599,535,348,1153,74720,75874
36,2,481954,0.977134,647,435,1139,72656,73796
37,2,509356,0.97941,647,302177,1126,78860,79986
38,2,481304,0.976387,573,318,1111,76793,77904
39,2,501460,0.980379,584,479,1098,74836,75934
40,2,481914,0.978037,629,263,1086,72972,74058
41,2,512296,0.979249,1237,524,1090,71205,72295
42,2,480494,0.97822,580,194662,1078,74144,75222
43,2,513382,0.980335,545,261,1065,72426,73491
44,2,497738,0.980989,560,289,1054,70786,71840
45,2,514928,0.981264,525,213385,1042,73955,74998
46,2,487674,0.980572,501,236,1030,72353,73383
47,2,504100,0.980007,571,454,1020,70823,71844
48,2,498834,0.977094,598,187848,1012,73261,74273
49,2,510896,0.980546,705,252,1005,71771,72777
50,2,600802,0.982293,853,319,1002,70342,71344
51,2,513814,0.979455,534,188652,993,72662,73655
52,2,505972,0.982363,641,395,986,71272,72259
53,2,470090,0.976311,902,358,985,69934,70919
54,2,476154,0.978806,891,185853,983,72080,73064
55,2,491716,0.978828,596,276,976,70775,71751
56,2,461514,0.976427,993,573,976,69521,70498
57,2,485146,0.97818,624,199308,970,71798,72769
58,2,450282,0.973928,545,295,963,70565,71529
59,2,439130,0.975723,580,276,956,69374,70331
60,2,395864,0.97155,524,264,949,68222,69172
61,2,458132,0.976195,665,195522,944,70309,71254
62,2,849092,0.986573,1911,881,960,69189,70150
63,2,808622,0.987049,1915,178966,975,70932,71907
64,2,776828,0.985802,1545,473,984,69831,70815
65,2,796024,0.985656,1137,204145,986,71897,72884
66,2,804852,0.985343,1412,881,993,70821,71814
67,2,783358,0.985822,1203,221443,996,73069,74066
68,2,787560,0.986354,1927,669,1010,72005,73015
69,2,778906,0.985937,1754,201963,1020,73888,74909
70,2,755870,0.985438,2103,843,1036,72844,73881
71,2,771800,0.985746,1141,211996,1037,74804,75842
72,2,767178,0.984996,1101,401,1038,73771,74810
73,2,750466,0.983769,1152,215114,1040,75707,76747
74,2,768794,0.986605,1198,775,1042,74695,75737
75,2,770602,0.985334,1776,208606,1052,76480,77532
76,2,760674,0.986433,1066,593,1052,75482,76534
77,2,772980,0.986427,1113,200315,1053,77103,78156
78,2,777386,0.986631,1056,441,1053,76120,77173
79,2,769644,0.98434,994,202018,1052,77714,78766
80,2,785996,0.986381,1386,495,1056,76748,77805
81,2,791546,0.985334,1183,198985,1058,78257,79315
82,2,782330,0.98559,1118,513,1058,77309,78368
83,2,801002,0.985873,1054,198239,1058,78766,79825
84,2,805406,0.986118,1056,402,1058,77833,78892
85,2,794198,0.984957,1068,211981,1058,79412,80470
86,2,807170,0.986799,1178,497,1060,78494,79554
87,2,810284,0.985996,1078,206778,1060,79968,81029
88,2,789214,0.985621,1068,394,1060,79064,80125
89,2,793654,0.986396,1025,207353,1060,80506,81566
90,2,776360,0.98646,1078,501,1060,79617,80677
91,2,785854,0.98648,1494,213799,1065,81091,82156
92,2,782542,0.98542,1008,408,1064,80214,81279
93,2,762918,0.985703,1029,196339,1064,81463,82527
94,2,777762,0.986917,1065,462,1064,80601,81665
95,2,790216,0.986961,1098,217154,1064,82039,83103
96,2,775190,0.985404,1029,375,1064,81188,82252
97,2,802582,0.986273,1285,208390,1066,82499,83566
98,2,808328,0.987886,1265,704,1068,81665,82733
99,2,786802,0.984891,1034,214259,1068,83004,84072
100,2,800938,0.98696,1060,399,1067,82178,83246
101,2,790646,0.985126,1039,211799,1067,83461,84529
102,2,775046,0.986857,1117,428,1068,82647,83715
103,2,827354,0.986966,1124,206615,1068,83851,84919
104,2,801678,0.986006,1140,431,1069,83049,84118
105,2,746200,0.984183,1313,212102,1071,84278,85349
106,2,760550,0.985138,1176,554,1072,83488,84561
107,2,750728,0.98469,1646,204576,1078,84619,85698
108,2,719440,0.984337,1197,623,1079,83842,84921
109,2,744460,0.985017,967,205468,1078,84958,86036
110,2,750454,0.984796,1008,390,1077,84189,85266
111,2,727120,0.985995,1081,334,1077,83433,84511
112,2,765468,0.986245,1331,210197,1079,84565,85645
113,2,769454,0.987198,2041,811,1088,83824,84912
114,2,743984,0.984043,1073,217700,1088,84998,86086
115,2,763924,0.984296,1925,1028,1095,84268,85364
116,2,767156,0.986123,1395,197001,1098,85240,86338
117,2,734400,0.984704,1033,327,1097,84514,85612
118,2,760836,0.985171,1223,200374,1098,85496,86595
119,2,754934,0.983715,974,739,1097,84784,85881
120,2,733370,0.9855,1327,191726,1099,85675,86774
121,2,759302,0.985543,1651,919,1103,84975,86078
122,2,736420,0.983509,1710,204929,1108,85958,87067
123,2,758540,0.983768,1884,768,1115,85265,86380
124,2,757812,0.985246,1849,183413,1121,86057,87178
125,2,730834,0.983975,1313,616,1122,85373,86496
126,2,763198,0.985677,1649,202410,1126,86302,87429
127,2,768986,0.985314,1183,582,1127,85627,86754
128,2,748540,0.983865,1573,194604,1130,86478,87609
129,2,757190,0.98456,1107,397,1130,85811,86942
130,2,748396,0.985468,1433,187474,1132,86593,87726
131,2,765650,0.984987,1093,397,1132,85935,87068
132,2,766336,0.984836,1094,197692,1132,86782,87914
133,2,807266,0.98549,1126,561,1132,86133,87266
134,2,751592,0.984863,960,209299,1130,87053,88184
135,2,777060,0.986047,1072,589,1130,86412,87543
136,2,779486,0.985623,1172,199352,1130,87243,88373
137,2,759018,0.983734,1056,398,1130,86609,87739
138,2,773418,0.985859,1211,200156,1130,87431,88562
139,2,782546,0.986469,1341,833,1132,86808,87941
140,2,765468,0.985859,1984,202879,1138,87638,88776
141,2,780958,0.985361,1768,614,1142,87020,88163
142,2,780336,0.984895,1763,207584,1147,87869,89017
143,2,766636,0.983866,1823,766,1152,87260,88412
144,2,780902,0.985281,2524,200923,1161,88050,89211
145,2,783428,0.986288,1707,742,1165,87447,88613
146,2,767506,0.985751,1153,197549,1165,88202,89367
147,2,781668,0.986108,1237,796,1165,87607,88773
148,2,786312,0.984731,1174,199071,1165,88360,89526
149,2,773132,0.986883,1195,644,1165,87771,88937
150,2,792208,0.987239,1373,202477,1167,88536,89703
151,2,796000,0.986174,1118,460,1167,87953,89120
