index,compression_type,byte_length,compression_ratio,compression_duration,transmission_duration,average_compression_duration,average_transmission_duration,average_both
1,0,136112,1,0,39823,0,39823,39823
2,1,34058,0.25,85,25,42,19924,19966
3,1,200266,0.25,527,4326,204,14724,14928
4,1,188322,0.25,438,23925,262,17024,17287
5,1,193196,0.25,608,353,331,13690,14022
6,1,195282,0.25,621,35651,379,17350,17730
7,1,190534,0.25,566,180,406,14897,15304
8,1,195800,0.25,455,94,412,13047,13459
9,1,194798,0.25,629,31139,436,15057,15493
10,1,189574,0.25,481,163,441,13567,14008
11,1,195878,0.25,639,228,459,12355,12814
12,1,197006,0.25,523,31548,464,13954,14418
13,1,191218,0.25,607,185,475,12895,13370
14,1,197526,0.25,631,135,486,11983,12470
15,1,197766,0.25,653,59014,497,15119,15616
16,1,190022,0.25,462,123,495,14182,14677
17,1,201756,0.25,636,402,503,13371,13875
18,1,208136,0.25,566,42915,507,15012,15519
19,1,197008,0.25,668,423,515,14244,14760
20,1,188234,0.25,498,166,514,13540,14055
21,1,192964,0.25,766,53840,526,15459,15986
22,1,192222,0.25,510,127,525,14762,15288
23,1,185046,0.25,484,176,524,14128,14652
24,1,198670,0.25,557,949,525,13579,14105
25,1,145840,0.25,518,55333,525,15249,15774
26,1,118668,0.25,302,128,516,14668,15184
27,1,128516,0.25,325,66,509,14127,14636
28,1,124064,0.25,351,103,503,13626,14130
29,1,132906,0.25,377,262,499,13165,13665
30,1,129096,0.25,387,92,495,12729,13225
31,1,135450,0.25,347,93,490,12322,12813
32,1,124290,0.25,456,58807,489,13774,14264
33,1,131768,0.25,328,65,484,13359,13844
34,1,128594,0.25,331,158,480,12971,13451
35,1,130252,0.25,347,203,476,12606,13082
36,1,123308,0.25,366,112,473,12259,12732
37,1,130016,0.25,404,120,471,11931,12402
38,1,123236,0.25,350,150,468,11621,12089
39,1,127874,0.25,419,121,467,11326,11793
40,1,123184,0.25,450,121,466,11046,11512
41,1,130788,0.25,340,121,463,10779,11243
42,1,122798,0.25,333,74,460,10524,10985
43,1,130920,0.25,465,47141,460,11376,11836
44,1,126846,0.25,443,209,460,11122,11582
45,1,131190,0.25,460,278,460,10881,11341
46,1,124334,0.25,383,108,458,10647,11105
47,1,128596,0.25,334,133,455,10423,10879
48,1,127632,0.25,361,109,453,10208,10662
49,1,130258,0.25,485,124,454,10002,10457
50,1,152908,0.25,397,116,453,9805,10258
51,1,131148,0.25,337,136,451,9615,10066
52,1,128764,0.25,338,149,448,9433,9882
53,1,120374,0.25,306,85,446,9257,9703
54,1,121616,0.25,657,52958,450,10066,10516
55,1,125588,0.25,308,116,447,9885,10333
56,1,118164,0.25,431,188,447,9712,10159
57,1,123992,0.25,327,202,445,9545,9990
58,1,115584,0.25,301,196,442,9384,9826
59,1,112514,0.25,543,185,444,9228,9672
60,1,101864,0.25,254,67,441,9075,9516
61,1,117326,0.25,293,66,438,8927,9366
62,1,215162,0.25,544,186,440,8786,9227
63,1,204808,0.25,515,125,441,8649,9091
64,1,197004,0.25,528,131,442,8516,8959
65,1,201902,0.25,560,164,444,8387,8832
66,1,204206,0.25,633,79685,447,9468,9915
67,1,198656,0.25,498,128,448,9328,9777
68,1,199614,0.25,558,164,450,9193,9643
69,1,197504,0.25,654,885,452,9073,9526
70,1,191760,0.25,708,247,456,8947,9404
71,1,195740,0.25,473,98,456,8822,9279
72,1,194716,0.25,495,86462,457,9901,10358
73,1,190712,0.25,471,128,457,9767,10224
74,1,194808,0.25,651,203,460,9637,10098
75,1,195518,0.25,514,142,460,9511,9972
76,1,192784,0.25,519,130,461,9387,9849
77,1,195904,0.25,529,196,462,9268,9731
78,1,196980,0.25,515,152,463,9151,9614
79,1,195472,0.25,582,211,464,9038,9503
80,1,199212,0.25,605,283,466,8929,9395
81,1,200832,0.25,577,106742,467,10136,10604
82,1,198442,0.25,486,115,468,10014,10482
83,1,203120,0.25,565,112,469,9895,10364
84,1,204186,0.25,517,128,469,9778,10248
85,1,201582,0.25,717,606,472,9670,10143
86,1,204492,0.25,547,276,473,9561,10035
87,1,205448,0.25,596,219,474,9454,9929
88,1,200182,0.25,507,211,475,9349,9824
89,1,201150,0.25,504,102,475,9245,9720
90,1,196754,0.25,536,187,476,9144,9621
91,1,199156,0.25,600,194831,477,11185,11662
92,1,198530,0.25,498,104,477,11064,11542
93,1,193496,0.25,487,92,477,10946,11424
94,1,197018,0.25,1361,115,487,10831,11318
95,1,200164,0.25,492,222,487,10719,11207
96,1,196668,0.25,545,141,488,10609,11097
97,1,203438,0.25,490,158,488,10501,10989
98,1,204560,0.25,760,117,490,10395,10886
99,1,199718,0.25,531,145,491,10292,10783
100,1,202880,0.25,628,229,492,10191,10684
101,1,200646,0.25,803,155,495,10092,10588
102,1,196342,0.25,790,279,498,9996,10494
103,1,209570,0.25,707,366,500,9902,10403
104,1,203264,0.25,625,175,501,9809,10310
105,1,189548,0.25,485,212,501,9717,10219
106,1,193006,0.25,516,188,501,9627,10129
107,1,190600,0.25,642,788,503,9545,10048
108,1,182722,0.25,529,203672,503,11342,11846
109,1,188946,0.25,444,136,502,11239,11742
110,1,190510,0.25,510,200,502,11139,11642
111,1,184362,0.25,476,126,502,11040,11542
112,1,194036,0.25,497,133,502,10942,11445
113,1,194858,0.25,576,213,503,10847,11351
114,1,189012,0.25,568,139,503,10754,11257
115,1,194028,0.25,595,300,504,10663,11167
116,1,194488,0.25,545,126,504,10572,11077
117,1,186452,0.25,496,166,504,10483,10988
118,1,193072,0.25,541,176,505,10395,10901
119,1,191858,0.25,515,191168,505,11915,12420
120,1,186040,0.25,469,125,504,11816,12321
121,1,192610,0.25,448,97,504,11719,12224
122,1,187192,0.25,479,136,504,11625,12129
123,1,192764,0.25,468,93,503,11531,12035
124,1,192290,0.25,593,170,504,11439,11944
125,1,185684,0.25,899,152,507,11349,11857
126,1,193572,0.25,638,241,508,11261,11770
127,1,195112,0.25,638,136,509,11173,11683
128,1,190204,0.25,492,102,509,11087,11596
129,1,192266,0.25,529,171,509,11002,11512
130,1,189858,0.25,518,162,509,10919,11429
131,1,194330,0.25,562,159,510,10836,11347
132,1,194534,0.25,480,188449,510,12182,12692
