index,compression_type,byte_length,compression_ratio,compression_duration,transmission_duration,average_compression_duration,average_transmission_duration,average_both
1,None,272216,1,2,111,2,111,113
2,None,272456,1,1,81,1,96,97
3,None,1.60213e+06,1,4,3546,2,1246,1248
4,None,1.50658e+06,1,2,1794,2,1383,1385
5,None,1.54557e+06,1,4,3437,2,1793,1796
6,None,1.56226e+06,1,4,3329,2,2049,2052
7,None,1.52426e+06,1,4,3285,3,2226,2229
8,None,1.56639e+06,1,4,3421,3,2375,2378
9,None,1.55838e+06,1,2,3356,3,2484,2487
10,None,1.51658e+06,1,4,3266,3,2562,2565
11,Block Floating Point,391754,0.25,6083,546,555,2379,2935
12,Block Floating Point,394012,0.25,6119,374,1019,2212,3231
13,Block Floating Point,382436,0.25,5336,289,1351,2064,3415
14,Block Floating Point,395052,0.25,5559,298,1652,1938,3590
15,Block Floating Point,395530,0.25,6286,288,1960,1828,3789
16,Block Floating Point,380044,0.25,6014,287,2214,1731,3946
17,Block Floating Point,403512,0.25,5673,294,2417,1647,4064
18,Block Floating Point,416270,0.25,5828,294,2607,1572,4179
19,Block Floating Point,394014,0.25,5597,311,2764,1505,4270
20,Block Floating Point,376466,0.25,5313,300,2891,1445,4337
21,None,1.54371e+06,1,4,3399,2754,1538,4292
22,None,1.53777e+06,1,2,3304,2629,1618,4247
23,None,1.48036e+06,1,2,3201,2515,1687,4202
24,None,1.58936e+06,1,4,5074,2410,1828,4239
25,None,1.16671e+06,1,4,1507,2314,1815,4129
26,None,949344,1,2,1779,2225,1814,4039
27,None,1.02813e+06,1,4,2192,2143,1828,3971
28,None,992504,1,4,1950,2066,1832,3899
29,None,1.06324e+06,1,4,1574,1995,1823,3819
30,None,1.03277e+06,1,4,2041,1929,1830,3760
31,None,1.0836e+06,1,4,1463,1867,1819,3686
32,None,994312,1,1,1942,1808,1822,3631
33,None,1.05414e+06,1,4,1516,1754,1813,3567
34,None,1.02875e+06,1,4,2053,1702,1820,3523
35,None,1.04202e+06,1,4,7666,1654,1987,3641
36,None,986456,1,4,2042,1608,1989,3597
37,None,1.04013e+06,1,4,1932,1564,1987,3552
38,None,985888,1,1,2336,1523,1996,3520
39,None,1.02299e+06,1,4,2595,1484,2012,3496
40,None,985464,1,4,2006,1447,2011,3459
41,None,1.0463e+06,1,2,2031,1412,2012,3424
42,None,982376,1,2,1901,1378,2009,3388
43,None,1.04735e+06,1,4,1993,1346,2009,3356
44,None,1.01476e+06,1,2,1914,1316,2007,3323
45,None,1.04952e+06,1,4,1429,1287,1994,3281
46,None,994664,1,3,9073,1259,2148,3407
47,None,1.02877e+06,1,4,2144,1232,2148,3380
48,None,1.02105e+06,1,2,1985,1206,2144,3351
49,None,1.04206e+06,1,4,2064,1182,2143,3325
50,None,1.22326e+06,1,4,1546,1158,2131,3289
51,None,1.04918e+06,1,2,1466,1136,2118,3254
52,None,1.03011e+06,1,4,2048,1114,2116,3231
53,None,962984,1,1,1902,1093,2112,3206
54,None,972920,1,4,1936,1073,2109,3182
55,None,1.0047e+06,1,4,1853,1053,2104,3158
56,None,945304,1,4,1881,1034,2100,3135
57,None,991928,1,4,2239,1016,2103,3120
58,None,924664,1,4,1777,999,2097,3097
59,None,900104,1,4,2207,982,2099,3081
60,None,814912,1,2,1490,966,2089,3055
61,None,938608,1,4,1727,950,2083,3033
62,None,1.7213e+06,1,2,5586,935,2139,3074
63,None,1.63846e+06,1,1,5143,920,2187,3107
64,None,1.57603e+06,1,4,5055,905,2232,3138
65,None,1.61522e+06,1,4,5003,892,2274,3167
66,None,1.63365e+06,1,4,5263,878,2320,3198
67,None,1.58924e+06,1,2,4963,865,2359,3225
68,None,1.59691e+06,1,6,12011,852,2501,3354
69,None,1.58002e+06,1,4,4908,840,2536,3377
70,None,1.53407e+06,1,2,3292,828,2547,3375
71,None,1.56592e+06,1,4,3442,817,2559,3376
72,None,1.55772e+06,1,4,3463,805,2572,3378
73,None,1.52569e+06,1,4,3281,794,2582,3376
74,None,1.55846e+06,1,4,3285,784,2591,3375
75,None,1.56414e+06,1,4,3228,773,2600,3373
76,None,1.54226e+06,1,4,3649,763,2613,3377
77,None,1.56723e+06,1,4,3300,753,2622,3376
78,None,1.57583e+06,1,4,4933,744,2652,3396
79,None,1.56378e+06,1,2,3225,734,2659,3394
80,None,1.5937e+06,1,2,4971,725,2688,3414
81,None,1.60665e+06,1,2,5289,716,2720,3437
82,None,1.58753e+06,1,4,4858,707,2746,3454
83,None,1.62495e+06,1,4,5244,699,2776,3476
84,None,1.63348e+06,1,1,5052,691,2803,3495
85,None,1.61265e+06,1,5,6553,683,2848,3531
86,None,1.63593e+06,1,1,4843,675,2871,3546
87,None,1.64358e+06,1,2,5482,667,2901,3568
88,None,1.60145e+06,1,4,4953,659,2924,3584
89,None,1.60919e+06,1,1,5101,652,2949,3601
90,None,1.57403e+06,1,1,4789,645,2969,3614
91,None,1.59324e+06,1,4,7359,638,3017,3655
92,None,1.58823e+06,1,4,4927,631,3038,3669
93,None,1.54796e+06,1,1,3191,624,3040,3664
94,None,1.57614e+06,1,4,4927,617,3060,3678
95,None,1.60131e+06,1,1,4970,611,3080,3691
96,None,1.57334e+06,1,4,4982,605,3100,3705
97,None,1.6275e+06,1,2,5222,598,3121,3720
98,None,1.63648e+06,1,4,4968,592,3140,3733
99,None,1.59774e+06,1,4,5119,586,3160,3747
100,None,1.62303e+06,1,2,5380,580,3182,3763
101,Block Floating Point,401290,0.25,5688,294,631,3154,3785
102,Block Floating Point,392682,0.25,5537,307,679,3126,3806
103,Block Floating Point,419138,0.25,7191,539,742,3101,3844
104,Block Floating Point,406526,0.25,5763,307,791,3074,3865
105,Block Floating Point,379096,0.25,5581,292,836,3047,3884
106,Block Floating Point,386010,0.25,5480,295,880,3021,3902
107,Block Floating Point,381200,0.25,8637,714,953,3000,3953
108,Block Floating Point,365444,0.25,5290,287,993,2975,3968
109,Block Floating Point,377892,0.25,5290,290,1032,2950,3983
110,Block Floating Point,381018,0.25,7089,287,1087,2926,4014
111,None,1.4749e+06,1,4,3358,1077,2930,4008
112,None,1.55229e+06,1,2,3178,1068,2932,4000
113,None,1.55886e+06,1,2,3343,1058,2936,3995
114,None,1.5121e+06,1,4,3113,1049,2937,3987
115,None,1.55222e+06,1,4,4412,1040,2950,3991
116,None,1.5559e+06,1,2,3283,1031,2953,3984
117,None,1.49162e+06,1,4,3266,1022,2956,3978
118,None,1.54458e+06,1,4,3436,1014,2960,3974
119,None,1.53486e+06,1,4,3265,1005,2962,3968
120,None,1.48831e+06,1,1,3179,997,2964,3961
121,None,1.54087e+06,1,5,4408,989,2976,3965
122,None,1.49754e+06,1,4,3207,980,2978,3959
123,None,1.54211e+06,1,2,3487,973,2982,3955
124,None,1.53832e+06,1,4,9251,965,3033,3998
125,None,1.48546e+06,1,4,3354,957,3035,3993
126,None,1.54857e+06,1,4,3289,949,3037,3987
127,None,1.56089e+06,1,2,3327,942,3039,3982
128,None,1.52163e+06,1,4,3311,935,3041,3977
129,None,1.53812e+06,1,4,3257,927,3043,3971
130,None,1.51886e+06,1,2,3255,920,3045,3966
131,None,1.55463e+06,1,2,3441,913,3048,3962
132,None,1.55627e+06,1,4,3249,906,3049,3956
133,None,1.6383e+06,1,1,5086,900,3065,3965
134,None,1.52629e+06,1,4,3487,893,3068,3961
135,None,1.57611e+06,1,4,4967,886,3082,3969
136,None,1.5817e+06,1,2,5056,880,3096,3977
137,None,1.54313e+06,1,4,4455,873,3106,3980
138,None,1.56902e+06,1,4,3336,867,3108,3976
139,None,1.58655e+06,1,3,4846,861,3120,3982
140,None,1.5529e+06,1,6,6779,855,3147,4002
141,None,1.58511e+06,1,4,4949,849,3159,4009
142,None,1.58461e+06,1,4,5071,843,3173,4016
143,None,1.55842e+06,1,2,3300,837,3174,4011
144,None,1.58513e+06,1,4,5007,831,3186,4018
145,None,1.58864e+06,1,4,4916,825,3198,4024
146,None,1.55719e+06,1,5,4495,820,3207,4028
147,None,1.58536e+06,1,2,5024,814,3220,4034
148,None,1.59701e+06,1,2,5137,809,3233,4042
149,None,1.56682e+06,1,4,3463,803,3234,4038
150,None,1.6049e+06,1,4,5885,798,3252,4050
151,None,1.61432e+06,1,2,5351,793,3266,4059
152,None,1.6059e+06,1,4,5409,788,3280,4068
153,None,1.63288e+06,1,4,5004,782,3291,4074
154,None,1.61786e+06,1,4,5240,777,3304,4082
155,None,1.58959e+06,1,4,4987,772,3315,4087
156,None,1.62639e+06,1,4,7244,767,3340,4108
157,None,1.6332e+06,1,4,5171,763,3351,4114
158,None,1.61911e+06,1,4,5140,758,3363,4121
159,None,1.61333e+06,1,2,5215,753,3374,4128
160,None,1.60702e+06,1,4,5113,748,3385,4134
161,None,1.572e+06,1,4,3261,744,3384,4129
162,None,1.5895e+06,1,4,4982,739,3394,4134
163,None,1.58214e+06,1,4,5158,735,3405,4140
164,None,1.56234e+06,1,5,4515,730,3412,4143
165,None,1.58126e+06,1,4,5036,726,3422,4148
166,None,1.55474e+06,1,4,4252,721,3427,4149
167,None,1.59427e+06,1,4,4908,717,3436,4153
168,None,1.61111e+06,1,3,5066,713,3445,4159
169,None,1.58955e+06,1,5,11400,709,3492,4201
170,None,1.60413e+06,1,2,4970,705,3501,4206
171,None,1.5997e+06,1,4,4944,700,3509,4210
172,None,1.58138e+06,1,3,7045,696,3530,4227
173,None,1.59638e+06,1,4,5193,692,3540,4232
174,None,1.59768e+06,1,2,5004,688,3548,4237
175,None,1.57801e+06,1,4,5035,684,3557,4241
176,None,1.61194e+06,1,5,7141,681,3577,4258
177,None,1.61615e+06,1,4,5320,677,3587,4264
178,None,1.60418e+06,1,2,5113,673,3595,4269
179,None,1.63619e+06,1,4,6322,669,3611,4280
180,None,1.6324e+06,1,4,5063,666,3619,4285
181,None,1.66949e+06,1,4,5200,662,3627,4290
182,None,1.67465e+06,1,2,5260,658,3636,4295
183,None,1.65418e+06,1,4,5186,655,3645,4300
184,None,1.6677e+06,1,4,5247,651,3653,4305
185,None,1.62108e+06,1,2,5094,648,3661,4309
186,None,1.72057e+06,1,2,5402,644,3671,4315
187,None,1.69206e+06,1,4,5377,641,3680,4321
188,None,1.66102e+06,1,2,5350,637,3689,4326
189,None,1.57411e+06,1,4,5462,634,3698,4332
190,None,1.56648e+06,1,5,4473,631,3702,4333
191,None,1.56172e+06,1,4,3441,627,3701,4329
192,None,1.66061e+06,1,2,5222,624,3709,4333
193,None,1.68151e+06,1,4,5238,621,3717,4338
194,None,1.7182e+06,1,5,7352,618,3735,4354
195,None,1.5987e+06,1,4,4970,615,3742,4357
196,None,1.57514e+06,1,5,6400,611,3755,4367
197,None,1.47994e+06,1,4,3178,608,3752,4361
198,None,1.57269e+06,1,2,3548,605,3751,4357
199,None,1.63806e+06,1,4,5190,602,3758,4361
200,None,1.93039e+06,1,2,6033,599,3770,4370
201,None,2.00823e+06,1,4,7227,596,3787,4384
202,None,1.92518e+06,1,4,6146,593,3799,4393
203,None,1.94408e+06,1,4,6142,590,3810,4401
204,None,1.8732e+06,1,4,5764,588,3820,4408
205,None,1.93885e+06,1,5,8056,585,3840,4426
206,None,1.95278e+06,1,4,6051,582,3851,4434
207,None,1.88492e+06,1,4,5718,579,3860,4440
208,None,1.90929e+06,1,4,7089,576,3876,4453
209,None,1.9011e+06,1,1,6426,574,3888,4462
210,None,1.86929e+06,1,1,5748,571,3897,4468
211,None,1.92986e+06,1,2,6009,568,3907,4475
212,None,1.93776e+06,1,2,6155,566,3917,4483
213,None,1.92547e+06,1,2,7110,563,3932,4496
214,None,1.98778e+06,1,4,6219,560,3943,4504
215,None,2.01078e+06,1,4,6428,558,3955,4513
216,None,1.97003e+06,1,4,6103,555,3965,4520
217,None,2.01674e+06,1,4,6248,553,3975,4528
218,None,1.99578e+06,1,2,6300,550,3986,4536
219,None,2.04758e+06,1,4,6771,548,3998,4546
220,None,2.06518e+06,1,4,7644,545,4015,4561
221,None,2.1247e+06,1,4,2551,543,4008,4552
222,None,2.04172e+06,1,4,6299,540,4019,4559
223,None,2.11405e+06,1,4,2832,538,4013,4552
224,None,2.03101e+06,1,5,6427,535,4024,4560
225,None,2.07718e+06,1,4,6588,533,4036,4569
226,None,2.00467e+06,1,5,8905,531,4057,4588
