index,compression_type,byte_length,compression_ratio,compression_duration,transmission_duration,average_compression_duration,average_transmission_duration,average_both
1,None,272216,1,4,118,4,118,122
2,Block Floating Point,34057,0.125,597,52,300,85,385
3,None,1.60213e+06,1,4,3547,201,1239,1440
4,Block Floating Point,188322,0.125,3564,168,1042,971,2013
5,None,1.54557e+06,1,4,3826,834,1542,2376
6,Block Floating Point,195282,0.125,4172,763,1390,1412,2803
7,None,1.52426e+06,1,5,5566,1192,2005,3198
8,Block Floating Point,195799,0.125,3808,782,1519,1852,3372
9,None,1.55838e+06,1,3,3981,1351,2089,3440
10,Block Floating Point,189573,0.125,3730,629,1589,1943,3532
11,None,1.56702e+06,1,4,10776,1445,2746,4191
12,Block Floating Point,197006,0.125,3384,836,1606,2587,4193
13,Block Floating Point,191218,0.125,3362,152,1741,2399,4141
14,Block Floating Point,197526,0.125,3390,162,1859,2239,4099
15,Block Floating Point,197765,0.125,4188,832,2014,2146,4160
16,Block Floating Point,190022,0.125,3852,445,2129,2039,4169
17,Block Floating Point,201756,0.125,7017,472,2416,1947,4364
18,Block Floating Point,208135,0.125,3620,190,2483,1849,4333
19,Block Floating Point,197007,0.125,3431,173,2533,1761,4295
20,Block Floating Point,188233,0.125,3316,160,2572,1681,4254
21,Block Floating Point,192964,0.125,3503,152,2617,1608,4225
22,Block Floating Point,192221,0.125,3370,160,2651,1542,4194
23,Block Floating Point,185045,0.125,3448,189,2685,1483,4169
24,Block Floating Point,198670,0.125,3468,147,2718,1428,4146
25,Block Floating Point,145839,0.125,2521,129,2710,1376,4086
26,Block Floating Point,118668,0.125,2054,99,2685,1327,4012
27,Block Floating Point,128516,0.125,2348,93,2672,1281,3954
28,Block Floating Point,124063,0.125,3082,137,2687,1240,3928
29,Block Floating Point,132905,0.125,2352,119,2675,1201,3877
30,Block Floating Point,129096,0.125,2298,97,2663,1165,3828
31,Block Floating Point,135450,0.125,2403,113,2654,1131,3786
32,Block Floating Point,124289,0.125,2212,115,2641,1099,3740
33,Block Floating Point,131768,0.125,2371,113,2632,1069,3702
34,Block Floating Point,128594,0.125,2314,107,2623,1041,3664
35,Block Floating Point,130252,0.125,2346,107,2615,1014,3630
36,Block Floating Point,123307,0.125,2190,105,2603,989,3592
37,Block Floating Point,130016,0.125,2266,106,2594,965,3559
38,Block Floating Point,123236,0.125,2216,101,2584,942,3527
39,Block Floating Point,127874,0.125,2332,99,2578,920,3499
40,Block Floating Point,123183,0.125,2277,92,2570,900,3470
41,Block Floating Point,130788,0.125,2482,113,2568,881,3449
42,Block Floating Point,122797,0.125,2406,134,2564,863,3427
43,Block Floating Point,130919,0.125,2487,120,2562,845,3408
44,Block Floating Point,126845,0.125,2543,121,2562,829,3391
45,Block Floating Point,131190,0.125,2308,124,2556,813,3370
46,Block Floating Point,124333,0.125,2259,128,2550,798,3349
47,Block Floating Point,128596,0.125,2298,113,2544,784,3329
48,Block Floating Point,127631,0.125,2299,111,2539,770,3310
49,Block Floating Point,130258,0.125,2513,122,2539,757,3296
50,Block Floating Point,152907,0.125,2741,140,2543,744,3287
51,Block Floating Point,131147,0.125,2377,120,2539,732,3272
52,Block Floating Point,128764,0.125,2621,103,2541,720,3261
53,Block Floating Point,120373,0.125,2194,139,2534,709,3244
54,Block Floating Point,121615,0.125,2373,231,2531,700,3232
55,Block Floating Point,125588,0.125,2235,107,2526,689,3216
56,Block Floating Point,118163,0.125,2564,87,2527,678,3206
57,Block Floating Point,123991,0.125,2246,93,2522,668,3191
58,Block Floating Point,115583,0.125,2089,90,2514,658,3173
59,Block Floating Point,112513,0.125,2242,88,2510,649,3159
60,Block Floating Point,101864,0.125,1887,283,2499,642,3142
61,Block Floating Point,117326,0.125,2113,364,2493,638,3131
62,Block Floating Point,215162,0.125,3826,612,2514,637,3152
63,Block Floating Point,204807,0.125,3608,617,2532,637,3169
64,Block Floating Point,197004,0.125,3524,568,2547,636,3184
65,Block Floating Point,201902,0.125,3472,526,2562,634,3196
66,Block Floating Point,204206,0.125,3588,528,2577,633,3210
67,Block Floating Point,198655,0.125,3637,476,2593,630,3224
68,Block Floating Point,199614,0.125,3537,480,2607,628,3235
69,Block Floating Point,197503,0.125,3507,503,2620,626,3247
70,Block Floating Point,191759,0.125,3385,503,2631,625,3256
71,Block Floating Point,195740,0.125,3362,532,2641,623,3265
72,Block Floating Point,194715,0.125,3433,513,2652,622,3274
73,Block Floating Point,190711,0.125,3274,493,2661,620,3281
74,Block Floating Point,194807,0.125,3437,496,2671,618,3290
75,Block Floating Point,195517,0.125,3446,514,2681,617,3299
76,Block Floating Point,192783,0.125,3466,510,2692,615,3308
77,Block Floating Point,195904,0.125,3568,483,2703,614,3317
78,Block Floating Point,196979,0.125,3359,545,2711,613,3325
79,Block Floating Point,195472,0.125,3415,520,2720,612,3333
80,Block Floating Point,199212,0.125,3427,530,2729,611,3340
81,Block Floating Point,200831,0.125,3584,493,2740,609,3349
82,Block Floating Point,198441,0.125,3433,474,2748,608,3356
83,Block Floating Point,203119,0.125,3559,533,2758,607,3365
84,Block Floating Point,204185,0.125,3611,519,2768,606,3374
85,Block Floating Point,201581,0.125,3517,564,2777,605,3382
86,Block Floating Point,204491,0.125,4007,481,2791,604,3395
87,Block Floating Point,205448,0.125,3956,566,2805,603,3408
88,Block Floating Point,200181,0.125,3788,539,2816,602,3419
89,Block Floating Point,201149,0.125,4213,1488,2831,612,3444
90,Block Floating Point,196754,0.125,4238,1412,2847,621,3469
91,Block Floating Point,199155,0.125,4129,1365,2861,629,3491
92,Block Floating Point,198529,0.125,4029,1404,2874,638,3512
93,Block Floating Point,193495,0.125,7494,869,2924,640,3564
94,Block Floating Point,197017,0.125,5614,479,2952,639,3591
95,Block Floating Point,200164,0.125,4424,1493,2968,648,3616
96,Block Floating Point,196667,0.125,3999,1266,2978,654,3633
97,Block Floating Point,203437,0.125,4222,1543,2991,663,3655
98,Block Floating Point,204560,0.125,4212,1650,3004,673,3677
99,Block Floating Point,199717,0.125,3836,613,3012,673,3685
100,Block Floating Point,202879,0.125,3460,725,3016,673,3690
101,Block Floating Point,200645,0.125,3600,161,3022,668,3691
102,Block Floating Point,196341,0.125,3420,671,3026,668,3695
103,Block Floating Point,209569,0.125,3670,164,3032,663,3696
104,Block Floating Point,203263,0.125,3545,655,3037,663,3701
105,Block Floating Point,189548,0.125,3672,156,3043,658,3702
106,Block Floating Point,193005,0.125,3693,500,3049,657,3707
107,Block Floating Point,190600,0.125,3509,153,3054,652,3706
108,Block Floating Point,182722,0.125,3200,155,3055,647,3703
109,Block Floating Point,188946,0.125,3309,162,3057,643,3701
110,Block Floating Point,190509,0.125,3342,159,3060,639,3699
111,Block Floating Point,184362,0.125,3307,160,3062,634,3697
112,Block Floating Point,194036,0.125,3609,171,3067,630,3698
113,Block Floating Point,194857,0.125,3451,165,3071,626,3697
114,Block Floating Point,189012,0.125,3301,162,3073,622,3695
115,Block Floating Point,194028,0.125,3447,728,3076,623,3699
116,Block Floating Point,194488,0.125,3521,162,3080,619,3699
117,Block Floating Point,186452,0.125,3266,159,3081,615,3697
118,Block Floating Point,193072,0.125,3748,635,3087,615,3702
119,Block Floating Point,191857,0.125,3793,161,3093,611,3705
120,Block Floating Point,186039,0.125,4023,145,3101,607,3708
121,Block Floating Point,192609,0.125,3412,167,3103,604,3707
122,Block Floating Point,187192,0.125,3398,166,3106,600,3706
123,Block Floating Point,192764,0.125,3575,157,3109,597,3706
124,Block Floating Point,192290,0.125,3380,160,3112,593,3705
125,Block Floating Point,185683,0.125,3322,155,3113,590,3703
126,Block Floating Point,193571,0.125,3623,219,3117,587,3704
127,Block Floating Point,195111,0.125,3573,161,3121,583,3705
128,Block Floating Point,190204,0.125,3327,159,3122,580,3703
129,Block Floating Point,192265,0.125,3359,479,3124,579,3704
130,Block Floating Point,189858,0.125,3267,469,3125,578,3704
131,Block Floating Point,194329,0.125,3424,506,3128,578,3706
132,Block Floating Point,194534,0.125,3371,513,3129,577,3707
133,Block Floating Point,204787,0.125,3651,555,3133,577,3711
134,Block Floating Point,190786,0.125,3601,477,3137,576,3714
135,Block Floating Point,197014,0.125,3529,500,3140,576,3716
136,Block Floating Point,197713,0.125,3613,464,3143,575,3719
137,Block Floating Point,192891,0.125,3352,501,3145,574,3720
138,Block Floating Point,196127,0.125,3431,497,3147,574,3721
139,Block Floating Point,198319,0.125,3493,496,3149,573,3723
140,Block Floating Point,194112,0.125,3811,163,3154,570,3725
141,Block Floating Point,198139,0.125,3463,161,3156,567,3724
142,Block Floating Point,198076,0.125,3780,166,3161,565,3726
